Full Name,ID Number,Manager ID,Gender,Birthday,Role,Full time/Part time/Contract,Country,Department,Grade,Current Salary,Current Bonus,Pension,Email Address,NI or Tax number,Other Unique Identifier,Ethnicity,FTE,Start Date,Leave Date,Current Employee,Area,How recruited,Relocation costs,Recruitment cost,Reason for leaving,Cost of termination,Ccy,Healthcare costs,Other benefits,Expenses,Share based payments,Performance Ranking,Engagement index,Absence Days,Absence Type,Bradford Index,Training Cost,Training Day,Successor,Total payroll cost,Total benefits,Payroll taxes,Total annual compensation,Monthly cost Including payroll taxes,Age,Tenure Years,Years to retirement,Sales targets,Span of Control,Absence detail,Team Engagement,Customer Satisfaction,Team Performance,Personal Performance,Role Start Date,Prior period performance ranking,Absence Instances
Reece Harris,1,,male,28/06/1970,CEO,Full time,UK,Executive,10,408699,208699,40870,Reece.Harris@realco.com,HA804326B,,,1,15/02/2009,,Y,Head Office,Internal,,0,,,GBP,1500,12500,7500,100000,8.2,7.8,8,,200,,,Yes,617398,54870,85818,758086,63799,48.66,3.67,16.35,0,6,,6.885,6.4,1,,10/01/2011,8.2,5
Ava Wilkins,2,1,female,23/05/1953,CFO,Full time,UK,Executive,9,170634,35317,12798,Ava.Wilkins@realco.com,CH10056G,,,1,06/05/2008,,Y,Head Office,Head Hunter,,45000,,,GBP,2000,3000,3750,50000,2.6,6.18,10,,490,,,,205951,17798,28627,252375,21344,50.22,4.45,14.78,node.links.from.budget,2,,7.55,,,,08/11/2011,2,7
Molly White,4,2,female,25/07/1974,Group Financial Controller,Full time,UK,Finance,7,122473,22659,6124,Molly.White@realco.com,IG720732F,,,1,17/05/2007,,Y,Head Office,Agency,,13350,,,GBP,2500,1000,3946.09,0,8.7,8.72,0,,-,,,No,145132,9624,20173,174929,14906,64.25,5.43,0.75,node.links.from.budget,3,,7.716666667,8,1,,10/01/2011,6.525,0
Sarah Flynn,7,4,female,13/03/1952,Financial Controller,Full time,UK,Finance,6,36769,295,1103,Sarah.Flynn@realco.com,GE851018C,,,1,09/08/2011,,Y,Head Office,Internal,,0,,,GBP,2500,500,0,0,5.2,7.82,6,,54,,,,37064,4103,5152,46319,3860,65.37,1.19,-0.37,node.links.from.budget,1,,7.39,,,,09/08/2011,6.5,3
Amber Hutchinson,5,7,female,18/01/1955,Finance Manager,Full time,UK,Finance,6,62894,9473,3145,Amber.Hutchinson@realco.com,CD817384I,,,1,29/05/2009,21/12/2010,N,Head Office,Advert,,500,Career Development,0,GBP,1000,500,1875,0,4.6,7.39,8,Compassionate,288,,,No,72367,4645,10059,87071,7412,36.7,1.56,28.3,node.links.from.budget,4,Compassionate,7.455,5.3,2,,18/06/2011,5.75,6
Jack Little,9,5,male,27/09/1975,Finance Assistant,Full time,UK,Finance,4,23161,0,463,Jack.Little@realco.com,AC193329C,,,1,15/07/2008,,Y,Head Office,Advert,,500,,,GBP,750,0,0,0,6.9,7.72,3,,3,,,,23161,1213,3219,27594,2299,26.58,4.26,38.42,node.links.from.budget,0,,NaN,,,,05/05/2012,5.175,1
Barbara Gray,10,5,female,22/08/1951,Finance Assistant,Full time,UK,Finance,4,26484,0,530,Barbara.Gray@realco.com,GA862051F,,,1,05/03/2010,,Y,Head Office,Advert,,500,,,GBP,750,0,0,0,9.9,7.25,8,,200,,,,26484,1280,3681,31445,2620,27.91,2.62,37.09,node.links.from.budget,0,,NaN,,,,10/01/2011,10,5
Spencer Sinclair,11,5,male,08/10/1975,Finance Assistant,Full time,UK,Finance,4,25765,0,515,Spencer.Sinclair@realco.com,EG732477D,,,1,25/12/2008,11/05/2010,N,Head Office,Advert,,500,Redundancy,5000,GBP,2000,0,0,0,6.7,7.23,9,,225,,,,25765,2515,3581,31862,2655,59.3,1.38,5.7,node.links.from.budget,0,,NaN,,,,26/08/2011,7.37,5
Frances Bush,12,5,female,12/09/1975,Finance Assistant,Full time,UK,Finance,4,22214,0,444,Frances.Bush@realco.com,EC836885I,,,1,02/12/2006,,Y,Head Office,Advert,,500,,,GBP,1500,0,0,0,6.3,7.62,0,,-,,,,22214,1944,3088,27246,2270,46.22,5.88,18.78,node.links.from.budget,0,,NaN,,,,10/01/2011,4.725,0
Barbara Stultz,8,4,female,22/11/1948,Financial Controller,Full time,UK,Finance,6,46075,1846,1382,Barbara.Stultz@realco.com,GH761048D,,,1,29/12/2009,,Y,Head Office,Agency,,7050,,,GBP,750,500,0,0,8.8,8.51,6,,54,,,No,47920,2632,6661,57214,4768,24.93,2.81,40.07,node.links.from.budget,7,,6.87,6.4,4,,27/11/2011,6.6,3
Francesca Daniels,6,8,Female,14/06/1957,Finance Manager,Full time,UK,Finance,5,63904,9726,3195,Francesca.Daniels@realco.com,BF744265D,,,1,09/10/2007,,Y,Head Office,Advert,,500,,,GBP,1500,500,1875,0,4,6.18,7,,112,,,Yes,73630,5195,10235,89060,7578,43.67,5.03,21.33,node.links.from.budget,7,,6.551428571,5.4,4,,30/05/2012,4.595,4
Sienna Miah,17,6,female,12/10/1956,Purchase Ledger Clerk,Part time,UK,Finance,2,22505,0,0,Sienna.Miah@realco.com,AF253281I,,,0.6,23/11/2011,,Y,Head Office,Advert,,500,,,GBP,1000,0,0,0,4,5.36,6,Exams,6,,,,22505,1000,3128,26633,2219,34.96,0.9,30.04,node.links.from.budget,0,Exams,NaN,,,,23/11/2011,4,1
Omar Webb,18,6,male,12/01/1959,Purchase Ledger Clerk,Full time,UK,Finance,2,23144,0,0,Omar.Webb@realco.com,AB850166B,,,1,05/10/1996,09/05/2008,N,Head Office,Agency,,3000,Performance,,GBP,2500,0,0,0,4,6.98,8,,128,,,,23144,2500,3217,28861,2405,66.08,11.6,-1.08,node.links.from.budget,0,,NaN,,,,10/07/2011,3.6,4
Steven Bias,19,6,male,11/11/1977,Purchase Ledger Clerk,Full time,UK,Finance,2,19680,0,0,Steven.Bias@realco.com,JA460938D,,,1,19/11/2009,,Y,Head Office,Agency,,3000,,,GBP,1000,0,0,0,5.6,6.59,6,,24,,,,19680,1000,2736,23416,1951,34.79,2.92,30.21,node.links.from.budget,0,,NaN,,,,18/10/2011,5.6,2
Logan Price,13,6,male,11/12/1953,Purchase Ledger Clerk,Full time,UK,Finance,2,18407,0,0,Logan.Price@realco.com,DA808637H,,,1,30/07/2007,,Y,Head Office,Agency,,3000,,,GBP,2500,0,0,0,4.8,5.63,8,Sickness,200,,,,18407,2500,2559,23466,1955,60.42,5.22,4.59,node.links.from.budget,0,Long-term treatment,NaN,,,,10/01/2011,3.615,5
Thomas Lee,14,6,male,20/07/1984,Purchase Ledger Clerk,Full time,UK,Finance,2,23640,0,0,Thomas.Lee@realco.com,GG236139F,,,1,18/06/2010,,Y,Head Office,Advert,,500,,,GBP,2500,0,0,0,9.1,8.56,0,,-,,,,23640,2500,3286,29426,2452,62,2.34,3.01,node.links.from.budget,0,,NaN,,,,08/07/2012,6.825,0
Joseph McCool,15,6,male,28/10/1953,Purchase Ledger Clerk,Full time,UK,Finance,2,18125,0,0,Joseph.McCool@realco.com,CF314157G,,,1,02/11/2009,,Y,Head Office,Advert,,500,,,GBP,1000,0,0,0,5,6.38,9,,144,,,,18125,1000,2519,21644,1804,30.53,2.96,34.47,node.links.from.budget,0,,NaN,,,,15/01/2012,5,4
Elise Morris,16,6,female,18/04/1955,Purchase Ledger Clerk,Full time,UK,Finance,2,20937,0,0,Elise.Morris@realco.com,JG945907F,,,1,19/06/2011,,Y,Head Office,Advert,,500,,,GBP,2500,0,0,0,5.7,6.36,5,,5,,,,20937,2500,2910,26347,2196,64.68,1.33,0.32,node.links.from.budget,0,,NaN,,,,19/06/2011,5.7,1
Sebastian Coates,20,8,male,06/04/1981,Sales Ledger Clerk,Full time,UK,Finance,2,21475,0,0,Sebastian.Coates@realco.com,DD318191G,,,1,09/01/2009,,Y,Head Office,Advert,,500,,,GBP,1000,0,0,0,4,6.38,6,,54,,,,21475,1000,2985,25460,2122,35.84,3.78,29.17,node.links.from.budget,0,,NaN,,,,10/01/2011,3,3
Lora Williams,21,8,female,07/09/1981,Sales Ledger Clerk,Full time,UK,Finance,2,18228,0,0,Lora.Williams@realco.com,EH243853G,,,1,29/04/2009,,Y,Head Office,Advert,,500,,,GBP,2500,0,0,0,6,7.23,3,Sickness,3,,,,18228,2500,2534,23262,1938,64.79,3.47,0.22,node.links.from.budget,0,Asthma,NaN,,,,29/06/2012,6,1
Amelia Yates,22,8,female,08/12/1983,Sales Ledger Clerk,Full time,UK,Finance,2,19821,0,0,Amelia.Yates@realco.com,IB680737E,,,1,11/08/2008,,Y,Head Office,Advert,,500,,,GBP,750,0,0,0,4.3,6.64,9,,225,,,,19821,750,2755,23326,1944,23.36,4.19,41.64,node.links.from.budget,0,,NaN,,,,29/02/2012,5.375,5
Gracie Doyle,23,8,female,16/03/1978,Sales Ledger Clerk,Part time,UK,Finance,2,23607,0,0,Gracie.Doyle@realco.com,FF964088I,,,0.6,25/11/2009,,Y,Head Office,Advert,,500,,,GBP,2000,0,0,0,9,6.69,0,,-,,,,23607,2000,3281,28889,2407,55.88,2.9,9.12,node.links.from.budget,0,,NaN,,,,20/01/2012,9,0
Eloise Jenkins,24,8,female,22/07/1979,Sales Ledger Clerk,Full time,UK,Finance,2,23008,0,0,Eloise.Jenkins@realco.com,HB983491I,,,1,16/12/2009,07/01/2010,N,Head Office,Advert,,500,Career Development,,GBP,2000,0,0,0,4,8.1,6,,24,,,,23008,2000,3198,28206,2350,57.32,0.06,7.68,node.links.from.budget,0,,NaN,,,,18/12/2012,5,2
